TABLE data_migration
data_migration.id,data_migration.uuid,data_migration.modified_on,data_migration.created_on,data_migration.export_time,data_migration.import_time,data_migration.created_time,data_migration.source,data_migration.type
7,52d37c02-d80c-40ca-b8be-6283398f2b67,2017-07-02 17:02:51,2017-07-02 16:17:10,2017-07-02 16:17:10,<NULL>,2017-07-02 16:17:10,export,|DATA_MIGRATION|ALL|
8,8a7439ef-3abd-4255-8e9f-8481d0a1507e,2017-07-02 17:02:51,2017-07-02 16:58:41,2017-07-02 16:58:41,<NULL>,2017-07-02 16:58:41,export,|DATA_MIGRATION|ALL|
9,2c820648-d53d-41cc-a5c4-2df1da294d25,2017-07-02 17:13:33,2017-07-02 17:13:33,2017-07-02 17:13:33,<NULL>,2017-07-02 17:13:33,export,|DATA_MIGRATION|ALL|
10,b66b7d6a-3a15-457e-9a79-3ca5c116a256,2017-07-02 17:13:43,2017-07-02 17:13:43,2017-07-02 17:13:43,<NULL>,2017-07-02 17:13:43,export,|DATA_MIGRATION|ALL|
11,16ea91a6-80ba-45e7-88e2-bd2132448208,2017-07-02 17:14:36,2017-07-02 17:14:36,2017-07-02 17:14:36,<NULL>,2017-07-02 17:14:36,export,|DATA_MIGRATION|ALL|
12,133f9ea6-f139-4e95-a5d0-319f3e791d03,2017-07-02 17:18:58,2017-07-02 17:18:58,2017-07-02 17:18:58,<NULL>,2017-07-02 17:18:58,export,|DATA_MIGRATION|ALL|
13,1c0f54a4-1225-4f7f-bc53-9667e086529f,2017-07-02 17:25:59,2017-07-02 17:25:59,2017-07-02 17:25:59,<NULL>,2017-07-02 17:25:59,export,|DATA_MIGRATION|ALL|
14,abdda27c-b261-4053-b4ba-e84753ec9b64,2017-07-02 17:28:23,2017-07-02 17:28:23,2017-07-02 17:28:23,<NULL>,2017-07-02 17:28:23,export,|DATA_MIGRATION|ALL|
15,3051d8cc-0bc8-46e2-9ce0-96b90e02e253,2017-07-02 17:30:36,2017-07-02 17:30:36,2017-07-02 17:30:36,<NULL>,2017-07-02 17:30:36,export,|DATA_MIGRATION|ALL|
16,35d39408-1f8b-448f-a663-ebb4b17f499b,2017-07-02 17:36:48,2017-07-02 17:36:48,2017-07-02 17:36:48,<NULL>,2017-07-02 17:36:48,export,|DATA_MIGRATION|ALL|
17,891586ba-13a6-4f3a-b423-7c4caaf46fc5,2017-07-02 17:38:07,2017-07-02 17:38:07,2017-07-02 17:38:07,<NULL>,2017-07-02 17:38:07,export,|DATA_MIGRATION|ALL|
18,79c3ddae-278a-4a80-81a0-739a95947b05,2017-07-02 17:39:12,2017-07-02 17:39:12,2017-07-02 17:39:12,<NULL>,2017-07-02 17:39:12,export,|DATA_MIGRATION|ALL|


TABLE company_info
company_info.id,company_info.uuid,company_info.modified_on,company_info.created_on,company_info.name,company_info.ticker,company_info.exchange,company_info.country,company_info.description,company_info.data_migration_id
16,a5203aa0-c852-40bc-8aa0-4ae2bee06064,2017-07-02 17:02:51,<NULL>,Hey there,T,Ex,C,Ya knooow,8a7439ef-3abd-4255-8e9f-8481d0a1507e
17,bd3e9b78-1b39-48fb-a45e-c4a3f7a22197,2017-07-02 17:02:51,<NULL>,Name,T,Ex,C,Desc,8a7439ef-3abd-4255-8e9f-8481d0a1507e
18,837594fa-b72c-42a8-8c6b-63c545fe39a5,2017-07-02 17:02:51,<NULL>,Sup,T,ex,C,"This is an example description that contains the words robot, software, and cyber.  Notice that the commas and periods do not impact the matching algorithm.  We also have can have sequencing and technology, which both match even though we only have the substrings as matches values.  Notice that APIS does not match because we have the ~+~ surrounding the word in the search.

Tags: mobile, computer

lfjasdlkfjsadlk;fjadkls;jflsadflsdjfsdjfkl;jsdlkfjsdal;kfjsdl;kjfdkls;ajfl;ksdajfdkls;fjadkls;fjadkls;jfkl;asdjfkls;adfjl;sdakjfldksajfl;sdkajfl'kdsjf;lkadsjfl;ksdjflkdsjfl;kadsjfaldskjf;ldskajfldskjfl;kdsjfl;dskjfl;kdsajfl;dsakfj;lsdkjfl;sdjflkdsajfl;dksjf;lksdajfldsk;jfl;kdsjfkl;dsjfl;ksdjflksdajfl;kdsjfl;kdsajfl;kasjdflksdjafl;ksdjfldksjflksajflksajdlkfjsdlkfjsadlkfjdaslkfjdsalkfjdslkfjdslkfjdsalkfjdlskjfdsalkjfsadlkjflsdkafjaslkdjflksdajfdlskajflksdajflksdjflkasdjflkdjsaflkdjslkfjasdl;kfjasld;kjfdlaks;jfsdakl;fjdaskl;fjdsa;lkfjdsalkfjdsal;kfjasdfkl



This is an example description that contains the words robot, software, and cyber.  Notice that the commas and periods do not impact the matching algorithm.  We also have can have sequencing and technology, which both match even though we only have the substrings as matches values.  Notice that APIS does not match because we have the ~+~ surrounding the word in the search.

Tags: mobile, computer

lfjasdlkfjsadlk;fjadkls;jflsadflsdjfsdjfkl;jsdlkfjsdal;kfjsdl;kjfdkls;ajfl;ksdajfdkls;fjadkls;fjadkls;jfkl;asdjfkls;adfjl;sdakjfldksajfl;sdkajfl'kdsjf;lkadsjfl;ksdjflkdsjfl;kadsjfaldskjf;ldskajfldskjfl;kdsjfl;dskjfl;kdsajfl;dsakfj;lsdkjfl;sdjflkdsajfl;dksjf;lksdajfldsk;jfl;kdsjfkl;dsjfl;ksdjflksdajfl;kdsjfl;kdsajfl;kasjdflksdjafl;ksdjfldksjflksajflksajdlkfjsdlkfjsadlkfjdaslkfjdsalkfjdslkfjdslkfjdsalkfjdlskjfdsalkjfsadlkjflsdkafjaslkdjflksdajfdlskajflksdajflksdjflkasdjflkdjsaflkdjslkfjasdl;kfjasld;kjfdlaks;jfsdakl;fjdaskl;fjdsa;lkfjdsalkfjdsal;kfjasdfkl",8a7439ef-3abd-4255-8e9f-8481d0a1507e
19,9ece2fb9-cf80-43c8-b835-47f29961e436,2017-07-02 17:02:51,<NULL>,Cheer,T,E,United States,Dfksdjlfkas,8a7439ef-3abd-4255-8e9f-8481d0a1507e
20,779790fe-ddc8-48c9-8bc4-7bb3390fcede,2017-07-02 17:02:51,<NULL>,,T,E,United States,Dfksdjlfkas,8a7439ef-3abd-4255-8e9f-8481d0a1507e
21,a9ea3111-af0c-41da-87fb-2770cced94d1,2017-07-02 17:02:51,<NULL>,N,T,C,C,C,8a7439ef-3abd-4255-8e9f-8481d0a1507e
22,ba5c7658-1300-4b07-b65e-218be699d953,2017-07-02 17:02:51,<NULL>,Name,T,Ex,C,Desc,8a7439ef-3abd-4255-8e9f-8481d0a1507e
23,e70c0f94-60c4-40a6-b885-de15bce8d4ed,2017-07-02 17:02:51,2017-06-20 19:31:27,Heythere,Tick,Ex,C,,8a7439ef-3abd-4255-8e9f-8481d0a1507e
24,9bf29c29-ebc8-4f1b-8587-d4ae8867ddc0,2017-07-02 17:02:51,2017-06-25 17:21:16,Hey,Ticker,Ex,C,"	This is an example description that contains the words robot, software, and cyber. Notice that the commas and periods do not impact the matching algorithm. We also have can have sequencing and technology, which both match even though we only have the substrings as matches values. Notice that APIS does not match because we have the ~+~ surrounding the word in the search. 

Tags: mobile, computer 

lfjasdlkfjsadlk;fjadkls;jflsadflsdjfsdjfkl;jsdlkfjsdal;kfjsdl;kjfdkls;ajfl;ksdajfdkls;fjadkls;fjadkls;jfkl;asdjfkls;adfjl;sdakjfldksajfl;sdkajfl'kdsjf;lkadsjfl;ksdjflkdsjfl;kadsjfaldskjf;ldskajfldskjfl;kdsjfl;dskjfl;kdsajfl;dsakfj;lsdkjfl;sdjflkdsajfl;dksjf;lksdajfldsk;jfl;kdsjfkl;dsjfl;ksdjflksdajfl;kdsjfl;kdsajfl;kasjdflksdjafl;ksdjfldksjflksajflksajdlkfjsdlkfjsadlkfjdaslkfjdsalkfjdslkfjdslkfjdsalkfjdlskjfdsalkjfsadlkjflsdkafjaslkdjflksdajfdlskajflksdajflksdjflkasdjflkdjsaflkdjslkfjasdl;kfjasld;kjfdlaks;jfsdakl;fjdaskl;fjdsa;lkfjdsalkfjdsal;kfjasdfkl This is an example description that contains the words robot, software, and cyber. Notice that the commas and periods do not impact the matching algorithm. We also have can have sequencing and technology, which both match even though we only have the substrings as matches values. Notice that APIS does not match because we have the ~+~ surrounding the word in the search. Tags: mobile, computer 

lfjasdlkfjsadlk;fjadkls;jflsadflsdjfsdjfkl;jsdlkfjsdal;kfjsdl;kjfdkls;ajfl;ksdajfdkls;fjadkls;fjadkls;jfkl;asdjfkls;adfjl;sdakjfldksajfl;sdkajfl'kdsjf;lkadsjfl;ksdjflkdsjfl;kadsjfaldskjf;ldskajfldskjfl;kdsjfl;dskjfl;kdsajfl;dsakfj;lsdkjfl;sdjflkdsajfl;dksjf;lksdajfldsk;jfl;kdsjfkl;dsjfl;ksdjflksdajfl;kdsjfl;kdsajfl;kasjdflksdjafl;ksdjfldksjflksajflksajdlkfjsdlkfjsadlkfjdaslkfjdsalkfjdslkfjdslkfjdsalkfjdlskjfdsalkjfsadlkjflsdkafjaslkdjflksdajfdlskajflksdajflksdjflkasdjflkdjsaflkdjslkfjasdl;kfjasld;kjfdlaks;jfsdakl;fjdaskl;fjdsa;lkfjdsalkfjdsal;kfjasdfkl",8a7439ef-3abd-4255-8e9f-8481d0a1507e
25,e1985ee6-92a7-4b42-9a72-33192241fcb3,2017-07-02 17:02:51,2017-06-29 18:08:02,df,sdf,dsf,sdf,,8a7439ef-3abd-4255-8e9f-8481d0a1507e
