127.0.0.1, 2017-03-30 15:46:28, GET, /, HTTP/1.1, 303, 0.003484
127.0.0.1, 2017-03-30 15:46:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.373773
127.0.0.1, 2017-03-30 15:46:30, GET, /admin/default/site, HTTP/1.1, 303, 0.109367
127.0.0.1, 2017-03-30 15:46:30, GET, /admin/default/index, HTTP/1.1, 200, 0.040439
127.0.0.1, 2017-03-30 15:46:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000361
127.0.0.1, 2017-03-30 15:46:33, POST, /admin/default/index, HTTP/1.1, 303, 0.035560
127.0.0.1, 2017-03-30 15:46:33, GET, /admin/default/site, HTTP/1.1, 200, 0.046182
127.0.0.1, 2017-03-30 15:46:33, POST, /admin/default/check_version, HTTP/1.1, 200, 0.289402
127.0.0.1, 2017-03-30 15:46:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000239
127.0.0.1, 2017-03-30 15:46:43, POST, /admin/default/site, HTTP/1.1, 303, 0.131417
127.0.0.1, 2017-03-30 15:46:44, GET, /admin/default/design/earnings_reports, HTTP/1.1, 200, 0.190030
127.0.0.1, 2017-03-30 15:46:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000221
127.0.0.1, 2017-03-30 15:48:03, GET, /admin/default/design/earnings_reports, HTTP/1.1, 200, 0.262134
127.0.0.1, 2017-03-30 15:48:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000223
127.0.0.1, 2017-03-30 16:23:15, GET, /, HTTP/1.1, 303, 0.006255
127.0.0.1, 2017-03-30 16:23:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.162281
127.0.0.1, 2017-03-30 16:23:17, GET, /admin/default/site, HTTP/1.1, 200, 0.137228
127.0.0.1, 2017-03-30 16:23:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000224
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/default/index, HTTP/1.1, 200, 0.098385
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003717
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/js/calendar.js, HTTP/1.1, 200, 0.001141
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003179
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/js/jquery.js, HTTP/1.1, 200, 0.003745
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/css/calendar.css, HTTP/1.1, 200, 0.003612
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.006796
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001939
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/js/web2py.js, HTTP/1.1, 200, 0.002893
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002705
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/js/share.js, HTTP/1.1, 200, 0.001889
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/images/background.jpg, HTTP/1.1, 200, 0.001283
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001024
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/images/gplus-32.png, HTTP/1.1, 200, 0.000933
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/images/facebook.png, HTTP/1.1, 200, 0.001110
127.0.0.1, 2017-03-30 16:23:19, GET, /earnings_reports/static/images/twitter.png, HTTP/1.1, 200, 0.001369
127.0.0.1, 2017-03-30 16:23:20, GET, /earnings_reports/static/images/favicon.ico, HTTP/1.1, 200, 0.000928
127.0.0.1, 2017-03-30 16:23:21, GET, /admin/default/site, HTTP/1.1, 200, 0.050883
127.0.0.1, 2017-03-30 16:23:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000229
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/default/index, HTTP/1.1, 200, 0.015610
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.002511
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.002576
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.002716
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.006226
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.004445
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.003888
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001145
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000960
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001065
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000855
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000847
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000756
127.0.0.1, 2017-03-30 16:23:23, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001604
127.0.0.1, 2017-03-30 16:23:27, GET, /admin/default/site, HTTP/1.1, 200, 0.072321
127.0.0.1, 2017-03-30 16:23:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
